,asin,rating,title,title_len,vote,summary_len,category_count,review_count,verified_true_ratio,also_buy_count,also_view_count,brand,main_cat,price,rankElectronics,review_text_len,percentage_positive
40,B00005T3VT,3.4545454545454546,Olympus S-711 Microcasette Recorder (Blue),5,2.5,2,11,11,0.9090909090909091,11,11,Olympus,All Electronics,15.08,192184.0,59.63636363636363,0.7272727272727273
41,B00005T3WF,4.666666666666667,ONKYO TX-8511 Stereo Receiver (Discontinued by Manufacturer),7,3.5,5,3,3,0.0,3,3,Onkyo,Home Audio & Theater,139.95,321726.0,430.6666666666667,1.0
42,B00005T408,4.0,Sony TCWE475 Dual Cassette Player / Recorder (Discontinued by Manufacturer),10,5.818181818181818,2,27,27,0.8518518518518519,27,27,Sony,Home Audio & Theater,114.0,62689.0,129.4814814814815,0.6296296296296297
43,B00005TQ1Y,3.259259259259259,Privacy Technologies TeleZapper,3,2.2,2,27,27,0.9629629629629629,27,27,Privacy Technologies,All Electronics,39.99,39055.0,26.77777777777778,0.5185185185185185
44,B00005UK8T,5.0,RCA Digital Cable Modem (DCM245R),5,,1,1,1,1.0,1,1,RCA,All Electronics,1.54,569035.0,56.0,0.0
45,B0000659TX,4.0,Panasonic RQ-L31 Portable Cassette Recorder with Slide Microphone,8,3.0,2,5,5,1.0,5,5,Panasonic,All Electronics,11.25,64729.0,79.8,0.4
46,B0000668YP,4.125,Olympus Pearlcorder S701 Microcassette Recorder (S701ACC),6,3.0,4,8,8,0.625,8,8,Olympus,All Electronics,12.05,78937.0,121.0,0.75
47,B000066HO3,4.5,Sony SRF-HM01V S2 Sports Walkman Street Style Headphone Radio (Discontinued by Manufacturer),12,,5,6,6,0.6666666666666666,6,6,Sony,Home Audio & Theater,10.8,127105.0,37.5,0.8333333333333334
48,B000066R6M,4.173333333333333,Sangean DT-210 FM-Stereo/AM PLL Synthesized Pocket Receiver,7,3.227272727272727,4,150,150,0.9466666666666667,150,150,Sangean,Home Audio & Theater,2.0,16770.0,84.87333333333333,0.7866666666666666
49,B000067FC5,4.8,Sony WM-FS221 Sports Walkman Cassette Player,6,,13,5,5,0.8,5,5,Sony,Home Audio &amp; Theater,18.23,207620.0,64.8,1.0
50,B000067RJ2,4.461538461538462,Belkin 19-Inch Rackmount Cable Management Panel with 5 D-Rings (1U),10,4.0,4,13,13,0.9230769230769231,13,13,Belkin,All Electronics,9.44,27338.0,38.53846153846154,0.9230769230769231
51,B000068BQJ,4.714285714285714,Motorola External Cable Modem (SB4200),5,7.5,5,7,7,0.5714285714285714,7,7,Motorola,All Electronics,41.19,336191.0,170.71428571428572,0.5714285714285714
52,B000068O4G,4.664285714285715,Hosa GXR-135 XLR Male to RCA Male Adaptor,8,5.6,3,140,140,0.9428571428571428,140,140,Hosa,Home Audio & Theater,5.95,75274.0,16.807142857142857,0.9285714285714286
53,B000068TZ7,4.0,Sony D-CJ500 Portable CD/MP3 Player,5,,2,1,1,1.0,1,1,Sony,Home Audio &amp; Theater,13.82,324022.0,14.0,1.0
54,B00006ANYU,5.0,Toshiba SD-3800 Progressive-Scan DVD Player,5,,4,1,1,0.0,1,1,Toshiba,All Electronics,35.95,688026.0,42.0,1.0
55,B00006AVC6,4.333333333333333,Sony DVP-NS715P Progressive-Scan DVD Player,5,,4,3,3,0.6666666666666666,3,3,Sony,All Electronics,39.79,37675.0,61.0,1.0
56,B00006B7DA,3.9935344827586206,"D-Link 4-Port USB 2.0 Hub including 4 Fast Charging Ports, mini USB 2.0 Port and 5V/2.5A Power Adapter (DUB-H4)",19,5.1521739130434785,3,464,464,0.915948275862069,464,464,D-Link,All Electronics,14.69,14056.0,70.65517241379311,0.7176724137931034
57,B00006B81E,4.6255899318301,"Tripp Lite 1 Outlet Portable Surge Protector Power Strip, Direct Plug In, $5,000 INSURANCE (SPIKECUBE)",15,12.305555555555555,2,1907,1907,0.9606712113266911,1907,1907,Tripp Lite,Home Audio &amp; Theater,7.25,802.0,35.16308337703199,0.9145254326166754
58,B00006B83E,4.633333333333334,"Tripp Lite 6 Outlet Home &amp; Office Waber Power Strip, 4ft Cord with 5-15P Plug (PS6)",16,2.0,9,60,60,0.9666666666666667,60,60,Tripp Lite,Home Audio & Theater,9.77,75586.0,25.633333333333333,0.95
59,B00006B8JX,4.636363636363637,"Fellowes 99000 Six-Outlet Power Strip, 120V, 4ft Cord, 10 7/8 x 1 7/8 x 1 5/8, Platinum",17,3.5,5,55,55,1.0,55,55,Fellowes,Home Audio & Theater,11.65,48636.0,20.70909090909091,0.9272727272727272
60,B00006HMGI,4.857142857142857,GE HO97878 4-PORT USB 2.0 Hub,6,,1,7,7,0.7142857142857143,7,7,Jasco,All Electronics,10.99,320637.0,46.57142857142857,0.8571428571428571
61,B00006HO4Y,3.6,BOSE 201 Series IV,4,12.333333333333334,9,5,5,0.2,5,5,Bose,Home Audio & Theater,188.0,272252.0,206.4,0.6
62,B00006HOKR,4.4144736842105265,Sangean DT-200X FM-Stereo/AM Audio Digital Tuning Personal Receiver,8,4.04,2,152,152,0.9342105263157895,152,152,Sangean,Home Audio &amp; Theater,2.0,8225.0,81.03947368421052,0.8092105263157895
63,B00006HQR8,4.751824817518248,"Fellowes 6-Outlet Office/Home Power Strip, 15 Foot Cord - Wall Mountable (99026)",12,6.0,4,137,137,0.9781021897810219,137,137,Fellowes,Home Audio &amp; Theater,18.36,4325.0,23.868613138686133,0.9416058394160584
64,B00006HQV5,4.582608695652174,StarTech.com 3x3in Open Slot Wiring Cable Raceway Duct with Cover Lid,11,9.384615384615385,4,115,115,0.991304347826087,115,115,StarTech,Home Audio & Theater,31.21,8296.0,44.391304347826086,0.9478260869565217
65,B00006HUAS,4.5,US Robotics USR5699B V.90-V.92 Internal PCI Faxmodem,7,,3,2,2,1.0,2,2,USRobotics,All Electronics,1.54,273664.0,22.0,0.5
66,B00006HYAN,5.0,MultiTech Systems MultiModemZDX V.92/56K Data/Fax Modem (MT5656ZDX),7,,3,6,6,1.0,6,6,Multi-Tech Systems,All Electronics,2.84,106114.0,34.166666666666664,0.8333333333333334
67,B00006HZ4M,4.7,Tripp Lite Isobar 4 Outlet International 200-240V Surge Protector Power Strip 2M Cord (EURO-4),14,4.0,2,10,10,0.9,10,10,Tripp Lite,Home Audio & Theater,4.82,98799.0,23.6,0.9
68,B00006I539,4.9,Bose 151 Environmental Speaker Pair with Brackets (Black),8,7.0,3,10,10,0.7,10,10,Bose,Home Audio & Theater,160.0,153498.0,56.3,0.9
69,B00006IJO4,4.0,Microsoft Broadband Networking Wireless  Base Station Router MN-500,8,,3,1,1,0.0,1,1,Microsoft,All Electronics,2.1,641073.0,47.0,1.0
70,B00006IS5O,4.0,Sony WM-EX190 Walkman Stereo Cassette Player with Anti-Rolling Mechanism,9,,2,5,5,1.0,5,5,Sony,Home Audio & Theater,7.69,73434.0,14.8,0.6
71,B00006JPEW,4.5625,Cobra HG M77 Highgear Noise-Cancelling CB Microphone,7,5.5,2,16,16,0.875,16,16,Cobra,All Electronics,1.54,28530.0,22.25,0.9375
72,B00006L43O,3.5,TDK Systems JC SLIM LINE 50PK - Clear (MCJB-W50TG),9,,2,4,4,1.0,4,4,TDK,Home Audio &amp; Theater,28.99,356391.0,92.0,0.5
73,B00006MJFO,4.0,C2G/Cables to Go 03748 Vertical Cable Management Rack (35 Inch),10,4.5,6,9,9,0.7777777777777778,9,9,C2G/Cables To Go,All Electronics,2.23,98575.0,71.88888888888889,0.6666666666666666
74,B00007DWE5,4.71875,"Discus 40, Black",3,2.3333333333333335,2,32,32,0.96875,32,32,"CD3 Storage Systems, Inc",Home Audio & Theater,8.64,40470.0,59.375,0.90625
75,B00007DWEA,4.612903225806452,Discgear Selector 100 (Discontinued by Manufacturer),6,3.8,2,31,31,0.8387096774193549,31,31,"CD3 Storage Systems, Inc",Home Audio & Theater,43.0,96094.0,74.87096774193549,0.9354838709677419
76,B00007FS2L,4.6,"Tripp Lite 6 Outlet Rackmount Network-Grade PDU Power Strip, Rear-Facing, 1U, 15A, 15ft Cord with 5-15P Plug (RS-0615-R)",18,,2,10,10,0.9,10,10,Tripp Lite,Home Audio & Theater,4.53,20572.0,41.4,0.9
77,B00007KDX6,4.297297297297297,"Panasonic RF-2400D AM / FM Radio, Silver",7,22.404761904761905,4,407,407,0.9754299754299754,407,407,Panasonic,Home Audio & Theater,2.0,261.0,44.73464373464373,0.8402948402948403
78,B00007KJWO,3.0,Olympus W-10 Digital Voice Recorder with Built-in Digital Camera,9,3.0,2,2,2,1.0,2,2,Olympus,All Electronics,27.64,327031.0,35.5,0.5
79,B00007L3MX,4.333333333333333,APC SU032A 4-Post Rackmount Rails,5,3.5,2,9,9,1.0,9,9,APC,Home Audio &amp; Theater,2.0,58433.0,96.33333333333333,0.7777777777777778
80,B00007MDK5,4.051282051282051,Cisco STK-RACKMOUNT-1RU Rackmount Brackets,4,,2,39,39,1.0,39,39,Cisco,All Electronics,8.63,41743.0,19.333333333333332,0.7435897435897436
81,B00008AWL0,4.269230769230769,TRENDnet 56K USB Data/Fax/TAM Modem TFM-560U (Blue),7,4.0,4,26,26,0.9230769230769231,26,26,TRENDnet,All Electronics,1.54,275970.0,94.73076923076923,0.6923076923076923
82,B00008IHP6,4.5,Sony MZ-NF610 High Speed Net MD Walkman Recorder,8,,9,2,2,0.5,2,2,Sony,Home Audio &amp; Theater,13.31,309810.0,40.5,1.0
83,B00008IP5L,2.5,"Panasonic DMRE50S DVD Player/Recorder, Silver",5,,2,2,2,1.0,2,2,Panasonic,All Electronics,16.88,558046.0,26.5,0.5
84,B00008N6XJ,3.0,Panasonic RQ-A220 Cassette Player / Recorder,6,,6,1,1,1.0,1,1,Panasonic,Home Audio & Theater,19.36,548082.0,818.0,0.0
85,B00008RS98,4.0,Sony D-EJ360 PSYC CD Walkman (Blue) (Discontinued by Manufacturer),9,5.0,12,11,11,0.9090909090909091,11,11,Sony,Home Audio & Theater,10.97,51264.0,33.36363636363637,0.6363636363636364
86,B00008RUXR,4.0,"Sony DVP-NS325B DVD Player, Black",5,2.0,20,2,2,1.0,2,2,Sony,All Electronics,37.99,331353.0,77.0,0.5
87,B00008VF5W,3.5,Coby CX49 Personal AM/FM Stereo Cassette Player (Discontinued by manufacturer),10,3.6666666666666665,9,52,52,0.9423076923076923,52,52,Coby,Home Audio &amp; Theater,2.0,98326.0,52.5,0.5961538461538461
88,B00008VFBE,4.048076923076923,Self-adhesive Nylon Cable Tie Mounts - Pkg of 100,9,6.714285714285714,5,104,104,0.9615384615384616,104,104,StarTech,Home Audio &amp; Theater,15.28,22214.0,37.86538461538461,0.7788461538461539
89,B00008W2M5,4.666666666666667,Sony SRF-H11 S2 Sports AM / FM Radio Walkman with Rear Reflector Headphones (Discontinued by Manufacturer),16,,2,3,3,1.0,3,3,Sony,Home Audio &amp; Theater,11.43,68882.0,20.666666666666668,1.0
90,B00008W7LI,3.0,Sony D-NE510 ATRAC3/MP3 CD Walkman,5,2.0,5,4,4,1.0,4,4,Sony,Home Audio & Theater,10.47,208992.0,7.75,0.5
91,B00008WIX3,4.348837209302325,Sony TCM-200DV Standard Cassette Voice Recorder (Discontinued by Manufacturer),9,7.5,7,43,43,0.9069767441860465,43,43,Sony,Home Audio & Theater,11.09,19594.0,60.13953488372093,0.7674418604651163
92,B00008ZPGS,4.846153846153846,Steiner Model 575 Marine 7x50 Binoculars,6,10.4375,4,26,26,0.8846153846153846,26,26,Steiner,Sports & Outdoors,36.85,47223.0,123.46153846153847,0.9615384615384616
93,B00009968A,2.0625,Hawking Technology HWMP1 Wireless Multimedia Control Pad,7,2.3333333333333335,3,16,16,0.8125,16,16,Hawking Technology,Home Audio & Theater,2.0,259678.0,68.6875,0.25
94,B00009K79U,4.227564102564102,"Tripp Lite 1 Outlet Portable Surge Protector Power Strip, Direct Plug In, Tel/Modem Protection, $10,000 INSURANCE (TRAVELCUBE)",17,7.2272727272727275,4,312,312,0.9551282051282052,312,312,Tripp Lite,Home Audio & Theater,2.0,15352.0,51.66346153846154,0.8461538461538461
95,B00009KIYL,4.375,Cisco-Linksys EG005W Gigabit 5-Port Workgroup Switch,6,2.0,6,8,8,0.875,8,8,Linksys,All Electronics,1.88,307892.0,63.875,0.75
96,B00009KXA3,2.3333333333333335,"Panasonic DMR-E80H Progressive-Scan DVD Player/Recorder with Hard Drive , Silver",10,2.0,3,3,3,0.6666666666666666,3,3,Panasonic,All Electronics,24.85,108009.0,33.666666666666664,0.3333333333333333
97,B00009MJKC,4.333333333333333,IOGear 4 Port USB 2.0 MicroHub GUH274,7,,5,3,3,0.6666666666666666,3,3,IOGEAR,All Electronics,17.76,201479.0,117.33333333333333,1.0
98,B00009QOQB,4.7631578947368425,Pioneer TS-X200 Surface Mount 3-Way Bass-Reflex Speakers,7,6.428571428571429,5,38,38,0.9736842105263158,38,38,Pioneer,Car Electronics,7.43,24535.0,43.28947368421053,0.9473684210526315
99,B00009QOTA,4.5,Pioneer TS-A878 3 1/2 Inch 2-Way Speakers,7,3.111111111111111,7,72,72,0.9861111111111112,72,72,Pioneer,Car Electronics,6.04,5383.0,42.791666666666664,0.9305555555555556
100,B00009QOW4,4.80327868852459,Pioneer TSD6802R 6 X 8 2-Way 260 Watt Speakers,9,4.555555555555555,2,61,61,0.9508196721311475,61,61,Pioneer,Car Electronics,8.65,78269.0,72.75409836065573,0.9508196721311475
101,B00009UI2Z,2.0,RCA DCM315R 30Mbps Cable Modem,5,,4,2,2,0.5,2,2,RCA,Home Audio &amp; Theater,20.0,566580.0,101.0,0.0
102,B00009V2YV,4.08273381294964,MIDLAND WR300 Weather Radio,4,3.5806451612903225,2,556,556,0.9316546762589928,556,556,Midland,Home Audio &amp; Theater,4.82,20005.0,70.43705035971223,0.7338129496402878
103,B00009V3S8,4.578947368421052,Infinity PERFT61 6-1/2  Component System (INFINITY PERFT61),7,8.0,12,19,19,0.8421052631578947,19,19,Infinity,Car Electronics,27.31,170969.0,91.47368421052632,1.0
104,B00009V3SD,5.0,"Infinity Kappa Perfect 5.1 5-1/4"" Component Speaker System",8,4.5,2,5,5,1.0,5,5,Infinity,Car Electronics,17.8,380859.0,62.6,1.0
105,B00009V3TT,3.8085106382978724,Pyle Home Digital Tuner Dual Cassette Deck | Media Player | Music Recording Device with RCA Cables | Switchable Rack Mounting Hardware | CrO2 Tape Selector | Included 3 Digit Tape Counter - 110V/220V,34,8.428571428571429,2,47,47,0.8723404255319149,47,47,Pyle,Home Audio &amp; Theater,3.76,8643.0,48.680851063829785,0.6808510638297872
106,B00009V3TU,3.7934782608695654,Pyle PLTTB1 Professional Belt-Drive Manual Turntable,6,8.117647058823529,2,92,92,0.9347826086956522,92,92,Pyle,Home Audio &amp; Theater,7.82,19433.0,104.58695652173913,0.7391304347826086
107,B00009W3N5,4.333333333333333,"Legrand - Wiremold CDG-15 Corduct Overfloor Cord Protector- Rubber Duct Floor Cord Cover, Gray (15 Feet)",16,4.875,7,159,159,0.9874213836477987,159,159,Wiremold,All Electronics,27.0,8152.0,49.83018867924528,0.8301886792452831
108,B00009W5KJ,4.03125,Power Acoustik NB-1 200-Watt 2-Way Mount Tweeters,7,3.0,15,32,32,0.84375,32,32,Power Acoustik,Car Electronics,7.99,10504.0,43.8125,0.84375
109,B00009W5QJ,2.2857142857142856,COBY CX-C21 Stereo Cassette Player (Discontinued by Manufacturer),8,4.0,3,7,7,0.8571428571428571,7,7,Coby,Home Audio & Theater,2.0,105124.0,106.0,0.2857142857142857
110,B00009WBYJ,4.6875,"BIC AMERICA DV-52CLRB 5 1/4"" 2-Way Center Channel Speaker (BIC AMERICA DV52CLRB)",12,3.272727272727273,2,32,32,0.875,32,32,BIC America,Home Audio &amp; Theater,4.78,110809.0,56.15625,0.9375
111,B00009WC1Z,3.9622641509433962,TIC TFS50-SL 8&quot; Outdoor Weather-Resistant Omnidirectional Rock Subwoofer (Slate),9,5.4,3,53,53,0.9433962264150944,53,53,TIC,Home Audio & Theater,7.67,108039.0,91.58490566037736,0.7924528301886793
112,B0000AI0N1,4.6230200633579726,Tripp Lite 6 Outlet Surge Protector Power Strip 6ft Cord 790 Joules LED &amp; INSURANCE (TLP606),16,8.129032258064516,2,947,947,0.9503695881731784,947,947,Tripp Lite,Home Audio & Theater,9.86,3537.0,28.49947201689546,0.9355860612460402
113,B0000AI0N2,4.628333333333333,"Tripp Lite 10 Outlet Surge Protector Power Strip, 8ft Cord, Tel/DSL Protection, RJ11, 150,000 INSURANCE (TLP1008TEL)",16,16.641025641025642,4,600,600,0.9733333333333334,600,600,Tripp Lite,Home Audio &amp; Theater,2.0,1377.0,53.653333333333336,0.8833333333333333
114,B0000AMK36,3.125,Midland WR-100C Weather / All Hazards / Civil Emergency Alert Monitor with S.A.M.E. (Discontinued by Manufacturer),16,,4,8,8,0.5,8,8,Midland,Home Audio & Theater,2.0,157813.0,206.5,0.5
115,B0000AQQX0,5.0,Humminbird XPT 9 20 T Portable Transducer,7,,2,5,5,1.0,5,5,Humminbird,All Electronics,5.04,127327.0,4.2,1.0
116,B0000BZHGV,2.1666666666666665,Denon DP-29F Turntable,3,4.0,6,6,6,0.5,6,6,Denon,Home Audio &amp; Theater,7.67,41631.0,112.83333333333333,0.3333333333333333
117,B0000CEKED,5.0,"Panasonic DVDS25S Progressive-Scan DVD Player , Silver",7,,4,1,1,1.0,1,1,Panasonic,All Electronics,49.99,1080958.0,33.0,1.0
118,B0000DC1CR,4.133333333333334,Ansmann 4000042 Energy Check Battery Capacity Tester,7,5.25,2,15,15,0.9333333333333333,15,15,Ansmann,Home Audio &amp; Theater,20.5,177960.0,86.53333333333333,0.8
119,B0000DHVOO,3.823529411764706,Crosley Solo Radio CR3003A Black,5,3.3157894736842106,2,51,51,0.7058823529411765,51,51,Deer Park Distributors,Home Audio &amp; Theater,4.63,18491.0,79.84313725490196,0.7254901960784313
120,B0000DIX20,3.25,Vantage Point SATS05B Satellite Speaker Mounts for Home Theater Systems - Black (5-Pack),13,,8,4,4,1.0,4,4,Vantage Point,Home Audio & Theater,1.41,414061.0,46.25,0.75
121,B0000DYTDJ,3.3333333333333335,Olympus DM-10 Digital Voice Recorder and Music Player,8,,2,3,3,0.6666666666666666,3,3,Olympus,All Electronics,39.99,124818.0,18.666666666666668,0.3333333333333333
122,B0000EZ1KK,4.431535269709544,Onkyo DXC390 6 Disc CD Changer,6,6.423728813559322,7,241,241,0.921161825726141,241,241,Onkyo,Home Audio &amp; Theater,7.69,767.0,45.3195020746888,0.8547717842323651
